model_id,future_pred_acc_x_0,future_pred_acc_x_1,future_pred_acc_x_2,future_pred_acc_x_3,future_pred_acc_x_4,future_pred_acc_x_5,future_pred_acc_x_6,future_pred_acc_z_0,future_pred_acc_z_1,future_pred_acc_z_2,future_pred_acc_z_3,future_pred_acc_z_4,future_pred_acc_z_5,future_pred_acc_z_6,recon_acc_x
major_sax_induced_val3_nosymm_k24_rnn_0/cp_step4901.pt,0.5083333333333333,0.8,0.8,0.4666666666666667,0.6333333333333333,0.5833333333333334,0.5833333333333334,0.8416666666666667,1.0,0.575,0.7166666666666667,0.8,0.5333333333333333,0.4166666666666667,1.0
major_sax_induced_val3_nosymm_k24_rnn_1/cp_step4901.pt,0.5,0.6666666666666666,0.5833333333333334,0.4166666666666667,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.8333333333333334,0.75,0.6666666666666666,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.5,1.0
major_sax_induced_val3_nosymm_k24_rnn_2/cp_step4901.pt,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.16666666666666666,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,1.0
major_sax_induced_val3_nosymm_k24_rnn_3/cp_step4901.pt,0.48333333333333334,0.65,0.5833333333333334,0.4,0.5666666666666667,0.5833333333333334,0.5833333333333334,0.85,0.8333333333333334,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.6,0.5166666666666667,1.0
major_sax_induced_val6_full_k24_rnn_0/cp_step4701.pt,0.4166666666666667,0.5,0.43333333333333335,0.3333333333333333,0.4166666666666667,0.4166666666666667,0.4166666666666667,0.4666666666666667,0.5833333333333334,0.5,0.4166666666666667,0.4166666666666667,0.4166666666666667,0.3333333333333333,1.0
major_sax_induced_val6_full_k24_rnn_1/cp_step4001.pt,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,1.0
major_sax_induced_val6_full_k24_rnn_2/cp_step4801.pt,0.08333333333333333,0.16666666666666666,0.16666666666666666,0.125,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.13333333333333333,1.0
major_sax_induced_val6_full_k24_rnn_3/cp_step3201.pt,0.4166666666666667,0.3333333333333333,0.3333333333333333,0.25,0.3333333333333333,0.4166666666666667,0.4166666666666667,0.6666666666666666,0.5833333333333334,0.5,0.3333333333333333,0.4166666666666667,0.4166666666666667,0.4166666666666667,1.0
major_sax_induced_val6_nosymm_k24_rnn_0/cp_step4701.pt,0.3333333333333333,0.5583333333333333,0.6666666666666666,0.25,0.4166666666666667,0.5833333333333334,0.5833333333333334,0.8333333333333334,0.7416666666666667,0.5833333333333334,0.6416666666666667,0.6666666666666666,0.6666666666666666,0.5833333333333334,1.0
major_sax_induced_val6_nosymm_k24_rnn_1/cp_step4801.pt,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,1.0
major_sax_induced_val6_nosymm_k24_rnn_2/cp_step4801.pt,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,1.0
major_sax_induced_val6_nosymm_k24_rnn_3/cp_step3401.pt,0.3416666666666667,0.6083333333333333,0.6916666666666667,0.3333333333333333,0.525,0.6083333333333333,0.5833333333333334,0.825,0.925,0.8,0.5083333333333333,0.775,0.7166666666666667,0.5,1.0
